track_id,track_name,artist_name,main_artist,canonical_title,release_date,popularity
6A25J9As7towpxovYryAWr,such a whore (stellular remix),jvla,jvla,such a whore,2020-06-03,76
6Juv5N0dNU1imms9c9u1dA,papi chulo,octavian,octavian,papi chulo,2020-03-13,76
7CH8J4ulT49UfZwSDSkSZA,i miss u (with au/ra),jax jones,jax jones,i miss u,2020-10-09,76
7L6G0wpIUiPXuvoo7qhb06,oops!,yung gravy,yung gravy,oops,2020-10-02,76
7fEoXCZTZFosUFvFQg1BmW,took her to the o,king von,king von,took her to the o,2020-03-06,76
0ZeGfEAL5Rl4pd5LZBGuEK,maria,hwa sa,hwa sa,maria,2020-06-29,75
0eeKDrQxjqNl5bX5VCHDcn,pam,justin quiles,justin quiles,pam,2020-05-01,75
0qJeyYAgv6UpvewUxRXAhb,rags2riches 2 (feat. lil baby),rod wave,rod wave,rags2riches 2,2020-08-07,75
1dcNEEtODRVZEevQ20Cgmy,nangangamba,zack tabudlo,zack tabudlo,nangangamba,2020-08-07,75
2alc8VZAzDgdAsL2QMk3hu,skechers,dripreport,dripreport,skechers,2020-01-12,75
4JLBDUYSaOMPYND0iWeSWQ,jenny (i wanna ruin our friendship),studio killers,studio killers,jenny,2020-12-04,75
4ecVWqbtW6phQGpZMAyqIU,not shy,itzy,itzy,not shy,2020-08-17,75
4slSrbTK1sNK4I1mDYEthf,rover (feat. dtg),s1mba,s1mba,rover,2020-03-04,75
53BHUFdQphHiZUUG3nx9zn,bang!,ajr,ajr,bang,2020-02-12,75
5bQ9rtAfOUbPmuxjPK8zDp,perreo pesau',rauw alejandro,rauw alejandro,perreo pesau,2020-11-13,75
5jkbw3FDS3bSSb4oLKYbjf,freak (feat. rei ami),sub urban,sub urban,freak,2020-03-13,75
5m0eMnsWwzgGsUxe1mhFYR,white tee (with no1-noah),summer walker,summer walker,white tee,2020-07-10,75
5v4GgrXPMghOnBBLmveLac,savage remix (feat. beyoncé),beyoncé,beyonce,savage remix,2020-04-29,75
6Htqsoq5u7Z4a8hqWfMRXY,seven nation army,dmnds,dmnds,seven nation army,2020-11-20,75
6MO2bfLHKykUgCChFdw91H,"slide (remix) (feat. pop smoke, a boogie wit da hoodie & chris brown)",h.e.r.,h.e.r.,slide,2020-01-17,75
6c7N5N7amAOpeMykjlovjI,walked through hell,anson seabra,anson seabra,walked through hell,2020-11-20,75
6zEgnpM0qYmHLDnh8WPejL,amarillo,j balvin,j balvin,amarillo,2020-03-19,75
7FjIYiD53wxlQmzTT6Wdpf,space girl,frances forever,frances forever,space girl,2020-03-27,75
0oHEteATZnAZuA9dl1dXF3,sensitive,serena isioma,serena isioma,sensitive,2020-01-29,74
0qUcpOOna3kkrwfqky85e1,eyes blue like the atlantic (feat. subvrbs),sista prod,sista prod,eyes blue like the atlantic,2020-07-20,74
1c5CllrZr45UBhWpIqM332,funny thing,thundercat,thundercat,funny thing,2020-04-03,74
1nYeVF5vIBxMxfPoL0SIWg,hallucinate,dua lipa,dua lipa,hallucinate,2020-03-27,74
3AMxuq6id3YGB57eWeheZQ,don't rush (feat. dababy),young t & bugsey,young t,don t rush,2020-06-12,74
41L3O37CECZt3N7ziG2z7l,yummy,justin bieber,justin bieber,yummy,2020-01-03,74
4GUj9MfPPkjpZskxb45uiX,angels & demons,jxdn,jxdn,angels demons,2020-05-19,74
4VEEDnEFLI9dUy5QA51rom,fools (can't help falling in love) (feat. sody),foster,foster,fools,2020-11-13,74
5Z0AM9HW78XIyZqF2BPasr,bitter,fletcher,fletcher,bitter,2020-05-13,74
5i7ThJfYLAzp2DyZuFpF6j,heart of glass (live from the iheart festival),miley cyrus,miley cyrus,heart of glass,2020-09-29,74
5kkaSMcf4BFlhRRICCKZb6,something special,pop smoke,pop smoke,something special,2020-07-03,74
61ZM92T2zaXIVsqncThQzC,in your eyes (feat. alida),robin schulz,robin schulz,in your eyes,2020-01-10,74
6WbTTAGKrQtCQvmc5BuYfh,girls in the hood,megan thee stallion,megan thee stallion,girls in the hood,2020-06-26,74
00ETaeHUQ6lops3oWU1Wrt,hot stuff,kygo,kygo,hot stuff,2020-09-18,73
1E3VQQWFQAPJkXfYHjqWoI,captain hook,megan thee stallion,megan thee stallion,captain hook,2020-03-06,73
1v6svH1Fyx9C1nIt1mA2DT,all i want,olivia rodrigo,olivia rodrigo,all i want,2020-01-10,73
2J4P46vCFm1rPkNkp9pZWX,ice cream (with selena gomez),blackpink,blackpink,ice cream,2020-08-28,73
3eMsgWDRq5dKl5SBTYGv2J,higher,eminem,eminem,higher,2020-12-18,73
3rlUxMDbs9DFZn0NaFO305,sneaky link,hxllywood,hxllywood,sneaky link,2020-12-25,73
3vrm4dNThrhQ0BArrLIUOV,somebody's watching me,chico rose,chico rose,somebody s watching me,2020-04-17,73
4KPYXZUCKYLEEcGmKN4Exs,weekend,lizot,lizot,weekend,2020-03-27,73
4NhDYoQTYCdWHTvlbGVgwo,gooba,6ix9ine,6ix9ine,gooba,2020-05-08,73
