track_id,track_name,artist_name,main_artist,canonical_title,track_genre,popularity
3mRLHiSHYtC8Hk7bzZdUs1,river,bishop briggs,bishop briggs,river,electro,75
3mwvKOyMmG77zZRunnxp9E,buddy holly,weezer,weezer,buddy holly,power-pop,75
3nqqDo8CcCLke3ZoTgiOKf,the man who can't be moved,the script,the script,the man who can t be moved,rock,75
3o7TMr6RmIusYH7Kkg7ujR,coming undone,korn,korn,coming undone,metal,75
3oEkrIfXfSh9zGnE7eBzSV,the winner takes it all,abba,abba,the winner takes it all,swedish,75
3pDhN3qB33AOPhQEkUCaWt,limbo,daddy yankee,daddy yankee,limbo,latin,75
3wz2vWhYnnBoFmgMkqtzLy,daku,chani nattan;inderpal moga,chani nattan,daku,hip-hop,75
3zhbXKFjUDw40pTYyCgt1Y,what is love,twice,twice,what is love,k-pop,75
42et6fnHCw1HIPSrdPprMl,semi-charmed life,third eye blind,third eye blind,semi charmed life,grunge,75
46lFttIf5hnUZMGvjK0Wxo,runaway (u & i),galantis,galantis,runaway,edm,75
4AE7Lj39VnSZNOmGH2iZaq,do for love,2pac,2pac,do for love,funk,75
4Et6tUEO7biKxZEfJXpNj1,another love - tiësto remix,tom odell;tiësto,tom odell,another love tiesto remix,chill,75
4GSDkZt7GcmzBWmsMcpaVO,dancing in the moonlight (feat. neimy),jubël;neimy,jubel,dancing in the moonlight,swedish,75
4GssB27iJeqmfGxS94Tfij,popular monster,falling in reverse,falling in reverse,popular monster,metal,75
4Hhv2vrOTy89HFRcjU3QOx,at last,etta james,etta james,at last,blues,75
4INDiWSKvqSKDEu7mh8HFz,mo money mo problems (feat. puff daddy & mase) - 2014 remaster,the notorious b.i.g.;mase;diddy,the notorious b.i.g.,mo money mo problems,hardcore,75
4IYKjN1DrYzxKXt0umJqsG,i got 5 on it,luniz;michael marshall,luniz,i got 5 on it,funk,75
4IsO1J5LSrVwkQOIEdZ417,sin novia,nicky jam,nicky jam,sin novia,latino,75
4OROzZUy6gOWN4UGQVaZMF,the trooper - 2015 remaster,iron maiden,iron maiden,the trooper,hard-rock,75
4aOOExMBUyxKnEYb39SrTg,riot,xxxtentacion,xxxtentacion,riot,emo,75
4eAwB5pnKFTmsgc3zWoYO0,fake it,seether,seether,fake it,grunge,75
4eNOLmx8r2IJAVKvBBL1jv,headshot (feat. polo g & fivio foreign),lil tjay;polo g;fivio foreign,lil tjay,headshot,r-n-b,75
4mn2kNTqiGLwaUR8JdhJ1l,house of the rising sun,the animals,the animals,house of the rising sun,blues,75
4t9a07PAghtQMRAIP9FQ7Z,soltera - remix,lunay;daddy yankee;bad bunny,lunay,soltera remix,latino,75
4uDhts78RdwIDjEqPrYVKp,sweet dreams,alan walker;imanbek,alan walker,sweet dreams,electro,75
4vVTI94F9uJ8lHNDWKv0i2,eenie meenie,sean kingston;justin bieber,sean kingston,eenie meenie,dance,75
4xMbBESczlHPUO8QeYi56p,my heart goes (la di da) (feat. topic),becky hill;topic,becky hill,my heart goes,edm,75
