track_id,track_name,artist_name,track_genre
6N22FZs2ZhPBYi3b9XPajV,still don't know my name,labrinth,indie-pop
7B3z0ySL9Rr0XvZEAjWZzM,sofia,clairo,indie-pop
7aGyRfJWtLqgJaZoG9lJhE,mad at disney,salem ilese,indie-pop
2f0pn9DkEJwAzXApnFh5cr,someone to you,banners,indie-pop
57RA3JGafJm5zRtKJiKPIm,are you bored yet? (feat. clairo),wallows;clairo,indie-pop
6AGOKlMZWLCaEJGnaROtF9,put your records on,ritt momney,indie-pop
0JjM9bKm4wrwohMslcm892,still be friends (feat. tory lanez & tyga),g-eazy;tory lanez;tyga,indie-pop
3QGppKBPd9gHOgHJzRbVIw,hate the way (feat. blackbear),g-eazy;blackbear,indie-pop
5iFwAOB2TFkPJk8sMlxP8g,make you mine,public,indie
6HlE9t71z9DjGi7KqSyEpA,deep end,fousheé,indie
2uFaJJtFpPDc5Pa95XzTvg,let it snow! let it snow! let it snow!,dean martin,jazz
3CYH422oy1cZNoo0GTG1TK,psycho,red velvet,k-pop
0pYacDCZuRhcrwGUA5nTBe,eight(prod.&feat. suga of bts),iu;suga,k-pop
3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,bts,k-pop
2MbdDtCv5LUVjYy9RuGTgC,"whats poppin (feat. dababy, tory lanez & lil wayne) - remix",jack harlow;tory lanez;dababy;lil wayne,k-pop
6c1QaQHdDhtFMfUkhueuXK,monster,red velvet - irene & seulgi,k-pop
3w1WjD2zJqjBjDz5fwqQPJ,tyler herro,jack harlow,k-pop
6juLaduD4STCUDWT0AYun4,more,k/da;madison beer;(g)i-dle;lexie liu;jaira burns;seraphine;league of legends,k-pop
5w9c2J52mkdntKOmRLeM2m,con calma,daddy yankee;snow,latin
0GzuHFG4Ql6DoyxFRnIk3F,hawái - remix,maluma;the weeknd,latin
2gam98EZKrF9XuOkU13ApN,promiscuous,nelly furtado;timbaland,latin
5cpJFiNwYyWwFLH0V6B3N8,del mar,ozuna;doja cat;sia,latin
5iwz1NiezX7WWjnCgY5TH4,calma - remix,pedro capó;farruko,latin
47EiUVwUp4C9fGccaPuUCS,dákiti,bad bunny;jhayco,latin
4MzXwWMhyBbmu6hOcLVD49,dákiti,bad bunny;jhay cortez,latin
0fea68AdmYNygeTGI4RC18,la canción,j balvin;bad bunny,latino
0EhpEsp4L0oRGM0vmeaN5e,un dia (one day) (feat. tainy),j balvin;dua lipa;bad bunny;tainy,latino
2XIc1pqjXV3Cr2BQUGNBck,la noche de anoche,bad bunny;rosalía,latino
2ksOAxtIxY8yElEWw8RhgK,china,anuel aa;daddy yankee;karol g;j balvin;ozuna,latino
1yoMvmasuxZfqHEipJhRbp,hawái,maluma,latino
4R8BJggjosTswLxtkw8V7P,no me conoce - remix,jhayco;j balvin;bad bunny,latino
2TH65lNHgvLxCKXM3apjxI,callaita,bad bunny;tainy,latino
2AuWgceaQyfMoI3EGavwGb,no me ame,rvssian;anuel aa;juice wrld,latino
35UUpTmrcFXNIVIN26ujXl,relación - remix,sech;daddy yankee;j balvin;rosalía;farruko,latino
69vlMrzHwATKzupwNcUPyK,la santa,bad bunny;daddy yankee,latino
6RyaV7owmVU6fzEPE17sF1,que tire pa lante,daddy yankee,latino
25ZAibhr3bdlMCLmubZDVt,que pretendes,j balvin;bad bunny,latino
7KbF6AdprOXEEHlsq11Z6d,11 pm,maluma,latino
0SqqAgdovOE24BzxIClpjw,yo perreo sola,bad bunny,latino
0KkIkfsLEJbrcIhYsCL7L5,china,anuel aa;daddy yankee;karol g;ozuna;j balvin,latino
4uoR6qeWeuL4Qeu2qJzkuG,hawái,maluma,latino
4HYDUMY0xSpeBr0AMY9cUz,la curiosidad,jay wheeler;dj nelson;myke towers,latino
4VgYtXCVJ7IbWAZ5ryfvEQ,muévelo,nicky jam;daddy yankee,latino
6zEgnpM0qYmHLDnh8WPejL,amarillo,j balvin,latino
5DxXgozhkPLgrbKFY91w0c,vete,bad bunny,latino
2tFwfmceQa1Y6nRPhYbEtC,cómo se siente - remix,jhayco;bad bunny,latino
41wtwzCZkXwpnakmwJ239F,si veo a tu mamá,bad bunny,latino
2DEZmgHKAvm41k4J3R2E9Y,safaera,bad bunny;jowell & randy;ñengo flow,latino
5kqNIqFjijuzvVLhuY9B8j,la zona,bad bunny,latino
3VvA1wSxukMLsvXoXtlwWx,hecha pa' mi,boza,latino
2hDe0Ls5mVqs1XJqv7sbcM,fútbol & rumba (feat. enrique iglesias),anuel aa;enrique iglesias,latino
5RubKOuDoPn5Kj5TLVxSxY,te mudaste,bad bunny,latino
6NfrH0ANGmgBXyxgV2PeXt,la difícil,bad bunny,latino
0A37XY67wSdGqkGjtfW6aV,fantasias - remix,rauw alejandro;anuel aa;natti natasha;farruko;lunay,latino
5y7DaS3jAc9eZzcSOoUIwU,una locura,ozuna;j balvin;chencho corleone,latino
4t9a07PAghtQMRAIP9FQ7Z,soltera - remix,lunay;daddy yankee;bad bunny,latino
4r9jkMEnArtWGH2rL2FZl0,a tu merced,bad bunny,latino
0JAZWvvqttGFm4UMDsPQXC,despeinada,ozuna;camilo,latino
5OxclJsdFESni44YlpNpkR,parasite eve,bring me the horizon,metal
0VjIjW4GlUZAMYd2vXMi3b,blinding lights,the weeknd,pop
7MXVkk9YMctZqd1Srtv4MB,starboy,the weeknd;daft punk,pop
0tgVpDi06FyKpA1z0VMD4v,perfect,ed sheeran,pop
7qiZfU4dY1lWllzX7mPBI3,shape of you,ed sheeran,pop
0u2P5u6lvoDfwTYjAADbn4,lovely (with khalid),billie eilish;khalid,pop
09mEdoA6zrmBPgTEN5qXmN,call out my name,the weeknd,pop
6UelLqGlWMcVH1E5c4H7lY,watermelon sugar,harry styles,pop
5QO79kh1waicV47BqGRL3g,save your tears,the weeknd,pop
4cluDES4hQEUhmXj6TXkSo,what makes you beautiful,one direction,pop
7qEHsqek33rTcFNT9PFqLf,someone you loved,lewis capaldi,pop
3hUxzQpSfdDqwM3ZTFQY0K,august,taylor swift,pop
45bE4HXI0AwGZXfZtMp8JR,you broke me first,tate mcrae,pop
4xqrdfXkTW4T0RauPLv3WA,heather,conan gray,pop
4TgxFMOn5yoESW6zCidCXL,savage love (laxed – siren beat) [bts remix],jawsh 685;jason derulo;bts,pop
4nVBt6MZDDP6tRVdQTgxJg,story of my life,one direction,pop
5uCax9HTNlzGybIStD3vDh,say you won't let go,james arthur,pop
2AlYncTpVHKwHb55F9lF6O,deep end freestyle,sleepy hallow;fousheé,r-n-b
3Ddny34bFoYBb8dIGq5lwp,zoo york (feat. fivio foreign & pop smoke),lil tjay;fivio foreign;pop smoke,r-n-b
4zTPYAf5scZdp0LnwPPeWK,deep end freestyle,sleepy hallow;fousheé,r-n-b
7k4t7uLgtOxPwTpFmtJNTY,tusa,karol g;nicki minaj,reggae
1nocRtwyNPVtGcIJqfgdzZ,tutu,camilo;pedro capó,reggae
7vrJn5hDSXRmdXoR30KgF1,bichota,karol g,reggae
1Ol5LmdNDNpFu1oNwfgkux,tutu,camilo;pedro capó,reggaeton
2TE4xW3ImvpltVU0cPcKUn,merry christmas everyone,shakin' stevens,rock-n-roll
3QiAAp20rPC3dcAtKtMaqQ,blue christmas,elvis presley,rock-n-roll
1zB4vmk8tFRmM9UULNzbLB,thunder,imagine dragons,rock
0pqnGHJpmpxLKifKRmU6WP,believer,imagine dragons,rock
